Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Steffen W., Richardson K., Rockström J., Cornell S.E., Fetzer I., Bennett E.M., Biggs R., Carpenter S.R., De Vries W., De Wit C.A., Folke C., Gerten D., Heinke J., Mace G.M., Persson L.M., Ramanathan V., Reyers B., Sörlin S.","7005295903;7202201972;6603746245;55096139600;23988425300;7201460901;16232203200;55630395300;7102036739;7005808757;7006090884;6602972127;36177721100;7006595259;7202840787;13406672500;6603004274;23028472400;","Planetary boundaries: Guiding human development on a changing planet",2015,"Science","347","6223","1259855","","",,5607,"10.1126/science.1259855",2-s2.0-84922433390
"Rockström J., Steffen W., Noone K., Persson Å., Chapin F.S., Lambin E.F., Lenton T.M., Scheffer M., Folke C., Schellnhuber H.J., Nykvist B., De Wit C.A., Hughes T., Van Der Leeuw S., Rodhe H., Sörlin S., Snyder P.K., Costanza R., Svedin U., Falkenmark M., Karlberg L., Corell R.W., Fabry V.J., Hansen J., Walker B., Liverman D., Richardson K., Crutzen P., Foley J.A.","6603746245;7005295903;7005088845;57193781128;7007033191;7006191947;7004637798;7004818551;7006090884;7003595192;16646504700;7005808757;7401459068;6508004334;7004920873;23028472400;7202501354;7005761060;24552682000;7006122869;55898798700;6701689411;6602295360;7404334532;7402209094;6701806971;7202201972;7103081525;7402873051;","A safe operating space for humanity",2009,"Nature","461","7263",,"472","475",,7040,"10.1038/461472a",2-s2.0-70349451894
"Raworth K.","",[No title available],2012,"A Safe and Just Space for Humanity: Can We Live Within the Doughnut?",,,,"","",,520,,2-s2.0-84864451861
"Leach M., Reyers B., Bai X., Brondizio E.S., Cook C., Díaz S., Espindola G., Scobie M., Stafford-Smith M., Subramanian S.M.","7201653088;6603004274;16306411200;6603037978;57204690276;55950878200;57203186307;57044571800;6505763602;51565946000;","Equity and sustainability in the anthropocene: A social-ecological systems perspective on their intertwined futures",2018,"Global Sustainability","1",,"e13","","",,143,"10.1017/sus.2018.12",2-s2.0-85069087700
"Feola G.","35271484400;","Societal transformation in response to global environmental change: A review of emerging concepts",2015,"Ambio","44","5",,"376","390",,324,"10.1007/s13280-014-0582-z",2-s2.0-84937979063
"Pelling M.","","Transformation: a renewed window on development responsibility for risk management",2014,"J. Extreme Events","1","1",,"","",,14,,2-s2.0-84978232905
"Blythe J., Silver J., Evans L., Armitage D., Bennett N.J., Moore M.-L., Morrison T.H., Brown K.","55993171700;9044781400;26424634500;7006574363;36774187200;37119327700;35964161000;7404382278;","The Dark Side of Transformation: Latent Risks in Contemporary Sustainability Discourse",2018,"Antipode","50","5",,"1206","1223",,262,"10.1111/anti.12405",2-s2.0-85054297036
"Scoones I., Newell P., Leach M.","7003643020;35926421300;7201653088;","THE POLITICS OF GREEN TRANSFORMATIONS",2015,"The Politics of Green Transformations",,,,"1","220",,253,"10.4324/9781315747378",2-s2.0-85145156184
"W.-P. G, Arnott J., Mach K.","","Transforming science-society engagement and generating actionable knowledge for environmental sustainability under global change",2020,"Curr Opin Environ Sustain",,,,"","",,1,,2-s2.0-85078147823
"Patterson J., Schulz K., Vervoort J., van der Hel S., Widerberg O., Adler C., Hurlbert M., Anderton K., Sethi M., Barau A.","7402407779;56909458200;36054026400;56996103400;56090482400;55385753000;35098978100;54394973600;56642483800;56990015000;","Exploring the governance and politics of transformations towards sustainability",2017,"Environmental Innovation and Societal Transitions","24",,,"1","16",,332,"10.1016/j.eist.2016.09.001",2-s2.0-84994777470
